{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.899, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.043, 'a_y': -0.077, 'a_x': 0.103, 'volt_b1': 3.456, 'pressure': 100470.414, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -123.0, 'time': 1486082292.131803, 'mag_y': 240.0, 'mag_x': 7685.0, 'gps_spd': 0.053, 'mag_z': -8353.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.889, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.058, 'a_y': 0.028, 'a_x': -0.04, 'volt_b1': 3.456, 'pressure': 100469.782, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -90.0, 'time': 1486082292.210986, 'mag_y': 224.0, 'mag_x': 7669.0, 'gps_spd': 0.053, 'mag_z': -8374.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.889, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 0.99, 'a_y': -0.038, 'a_x': -0.022, 'volt_b1': 3.456, 'pressure': 100469.782, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -110.0, 'time': 1486082292.290058, 'mag_y': 233.0, 'mag_x': 7732.0, 'gps_spd': 0.053, 'mag_z': -8370.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.889, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.078, 'a_y': -0.023, 'a_x': 0.012, 'volt_b1': 3.584, 'pressure': 100469.782, 'volt_b2': 1.024, 'current_2': -3.0, 'current_1': -104.0, 'time': 1486082292.369141, 'mag_y': 231.0, 'mag_x': 7710.0, 'gps_spd': 0.053, 'mag_z': -8359.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.889, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.051, 'a_y': -0.026, 'a_x': -0.028, 'volt_b1': 3.584, 'pressure': 100469.782, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -121.0, 'time': 1486082292.448219, 'mag_y': 248.0, 'mag_x': 7690.0, 'gps_spd': 0.053, 'mag_z': -8290.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.889, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.057, 'a_y': -0.039, 'a_x': -0.002, 'volt_b1': 3.584, 'pressure': 100469.782, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -126.0, 'time': 1486082292.527293, 'mag_y': 234.0, 'mag_x': 7692.0, 'gps_spd': 0.053, 'mag_z': -8335.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.889, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.04, 'a_y': -0.029, 'a_x': -0.017, 'volt_b1': 3.456, 'pressure': 100469.782, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -113.0, 'time': 1486082292.606349, 'mag_y': 219.0, 'mag_x': 7692.0, 'gps_spd': 0.053, 'mag_z': -8320.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.878, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.059, 'a_y': -0.034, 'a_x': -0.009, 'volt_b1': 3.456, 'pressure': 100469.352, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -114.0, 'time': 1486082292.685403, 'mag_y': 229.0, 'mag_x': 7698.0, 'gps_spd': 0.053, 'mag_z': -8358.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.878, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.051, 'a_y': -0.032, 'a_x': -0.013, 'volt_b1': 3.584, 'pressure': 100469.352, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -95.0, 'time': 1486082292.764428, 'mag_y': 235.0, 'mag_x': 7726.0, 'gps_spd': 0.053, 'mag_z': -8308.0}
{'gps_lat': 37.276, 'squib_deployed': 0, 'temp': 22.878, 'gps_lon': -121.827, 'gps_alt': 83.506, 'flight_mode': 0, 'a_z': 1.049, 'a_y': -0.034, 'a_x': -0.016, 'volt_b1': 3.584, 'pressure': 100469.352, 'volt_b2': 1.024, 'current_2': -5.0, 'current_1': -110.0, 'time': 1486082292.843542, 'mag_y': 219.0, 'mag_x': 7682.0, 'gps_spd': 0.053, 'mag_z': -8285.0}
